Datum,Differenz in kWh,Kapazität in kWh,Laden/Einspeisen in kWh
2030-11-23 14:45:00,-4087.0234164192007,56000.0,0.0
2030-11-23 15:00:00,-3702.9721347053273,56000.0,0.0
2030-11-23 15:15:00,-3422.5626518068275,56000.0,0.0
2030-11-23 15:30:00,-3248.3205325745075,56000.0,0.0
2030-11-23 15:45:00,-3199.068095015111,56000.0,0.0
2030-11-23 16:00:00,-3020.776065445705,56000.0,0.0
2030-11-23 16:15:00,-3023.1299819898522,56000.0,0.0
2030-11-23 16:30:00,-3035.1979285835805,56000.0,0.0
2030-11-23 16:45:00,-2778.4354365529944,56000.0,0.0
2030-11-23 17:00:00,-2677.234108228982,56000.0,0.0
2030-11-23 17:15:00,-2647.762996924983,56000.0,0.0
2030-11-23 17:30:00,-2734.498182647927,56000.0,0.0
2030-11-23 17:45:00,-2729.1016629271508,56000.0,0.0
2030-11-23 18:00:00,-2958.0520545344843,56000.0,0.0
2030-11-23 18:15:00,-3242.320777591991,56000.0,0.0
2030-11-23 18:30:00,-3442.2092291028457,56000.0,0.0
2030-11-23 18:45:00,-3648.532040512746,56000.0,0.0
2030-11-23 19:00:00,-3992.288503483338,56000.0,0.0
2030-11-23 19:15:00,-4150.518530311154,56000.0,0.0
2030-11-23 19:30:00,-4391.899162212259,56000.0,0.0
2030-11-23 19:45:00,-4656.301786307198,56000.0,0.0
2030-11-23 20:00:00,-4755.45177366379,56000.0,0.0
2030-11-23 20:15:00,-5147.902652275319,56000.0,0.0
2030-11-23 20:30:00,-5440.920847437534,56000.0,0.0
2030-11-23 20:45:00,-5833.398442229267,56000.0,0.0
2030-11-23 21:00:00,-5987.138981877451,56000.0,0.0
2030-11-23 21:15:00,-6133.921047666256,56000.0,0.0
2030-11-23 21:30:00,-6514.580767949119,56000.0,0.0
2030-11-23 21:45:00,-6544.306487486789,56000.0,0.0
2030-11-23 22:00:00,-6281.1560058404175,56000.0,0.0
2030-11-23 22:15:00,-6541.536335598699,56000.0,0.0
2030-11-23 22:30:00,-6893.080707511661,56000.0,0.0
2030-11-23 22:45:00,-6690.353173281033,56000.0,0.0
2030-11-23 23:00:00,-7280.908835048038,56000.0,0.0
2030-11-23 23:15:00,-7707.793618071322,56000.0,0.0
2030-11-23 23:30:00,-7921.560305683277,56000.0,0.0
2030-11-23 23:45:00,-7762.651079079093,56000.0,0.0
2030-11-24 00:00:00,-7842.9599460484715,56000.0,0.0
2030-11-24 00:15:00,-8151.121535027247,56000.0,0.0
2030-11-24 00:30:00,-8288.280035603726,56000.0,0.0
2030-11-24 00:45:00,-8329.747821590237,56000.0,0.0
2030-11-24 01:00:00,-8388.197246904889,56000.0,0.0
2030-11-24 01:15:00,-8463.505581598158,56000.0,0.0
2030-11-24 01:30:00,-8293.761939180076,56000.0,0.0
2030-11-24 01:45:00,-8127.454825990562,56000.0,0.0
2030-11-24 02:00:00,-7672.744030033829,56000.0,0.0
2030-11-24 02:15:00,-7207.77434794633,56000.0,0.0
2030-11-24 02:30:00,-7054.247940077092,56000.0,0.0
2030-11-24 02:45:00,-6886.66829822603,56000.0,0.0
2030-11-24 03:00:00,-6480.6061415539225,56000.0,0.0
2030-11-24 03:15:00,-6122.167308039836,56000.0,0.0
2030-11-24 03:30:00,-6223.07330032511,56000.0,0.0
2030-11-24 03:45:00,-6089.489254301081,56000.0,0.0
2030-11-24 04:00:00,-6172.757634679105,56000.0,0.0
2030-11-24 04:15:00,-5949.007337005998,56000.0,0.0
2030-11-24 04:30:00,-5782.7505275840995,56000.0,0.0
2030-11-24 04:45:00,-5543.064144402881,56000.0,0.0
2030-11-24 05:00:00,-4776.332888000867,56000.0,0.0
2030-11-24 05:15:00,-4281.56712114429,56000.0,0.0
2030-11-24 05:30:00,-3767.833054276296,56000.0,0.0
2030-11-24 05:45:00,-3246.6563456237927,56000.0,0.0
2030-11-24 06:00:00,-3078.522168596952,56000.0,0.0
2030-11-24 06:15:00,-2308.7963527596476,56000.0,0.0
2030-11-24 06:30:00,-1737.2216896822683,56000.0,0.0
2030-11-24 06:45:00,-942.3198955024527,56000.0,0.0
2030-11-24 07:00:00,-379.22249227617067,56000.0,0.0
2030-11-24 07:15:00,130.7957630968849,55869.20423690311,-130.7957630968849
2030-11-24 07:30:00,463.9797085743812,55405.224528328734,-463.9797085743812
2030-11-24 07:45:00,824.0868880389935,54581.137640289744,-824.0868880389935
2030-11-24 08:00:00,1016.1476567616737,53564.98998352807,-1016.1476567616737
2030-11-24 08:15:00,1073.4968952461459,52491.49308828192,-1073.4968952461459
2030-11-24 08:30:00,788.1823648476202,51703.3107234343,-788.1823648476202
2030-11-24 08:45:00,522.0749152555545,51181.23580817874,-522.0749152555545
2030-11-24 09:00:00,313.83818581808373,50867.39762236066,-313.83818581808373
2030-11-24 09:15:00,185.7466558756496,50681.65096648501,-185.7466558756496
2030-11-24 09:30:00,-137.10653927700332,50818.75750576201,137.10653927700332
2030-11-24 09:45:00,-353.4179953646526,51172.175501126665,353.4179953646526
2030-11-24 10:00:00,-736.4158904757351,51908.5913916024,736.4158904757351
2030-11-24 10:15:00,-1134.8578821951924,53043.449273797596,1134.8578821951924
2030-11-24 10:30:00,-1520.163556856598,54563.612830654194,1520.163556856598
2030-11-24 10:45:00,-1906.3559604418551,56000.0,1906.3559604418551
2030-11-24 11:00:00,-2111.024136080261,56000.0,0.0
2030-11-24 11:15:00,-2396.581553420445,56000.0,0.0
2030-11-24 11:30:00,-2676.321568451476,56000.0,0.0
2030-11-24 11:45:00,-3185.235087253841,56000.0,0.0
2030-11-24 12:00:00,-3524.0483324553534,56000.0,0.0
2030-11-24 12:15:00,-3859.176136735219,56000.0,0.0
