,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh
10042,2030-04-15 15:30:00,31213.26316409341,0.0,31213.26316409341
10043,2030-04-15 15:45:00,30293.454454404018,0.0,30293.454454404018
10044,2030-04-15 16:00:00,29256.655255447382,0.0,29256.655255447382
10045,2030-04-15 16:15:00,27903.585574617988,0.0,27903.585574617988
10046,2030-04-15 16:30:00,26534.2563457801,0.0,26534.2563457801
10047,2030-04-15 16:45:00,25110.957270761573,0.0,25110.957270761573
10048,2030-04-15 17:00:00,23719.174443872133,-28.392546697072248,23747.566990569205
10049,2030-04-15 17:15:00,22199.04292842545,-1538.1997213602226,23737.242649785672
10050,2030-04-15 17:30:00,20830.686012120852,-2852.1068368124543,23682.792848933306
10051,2030-04-15 17:45:00,19531.382468767362,-3861.9689049852605,23393.351373752623
10052,2030-04-15 18:00:00,18379.28895581158,-4690.005853148945,23069.294808960523
10053,2030-04-15 18:15:00,16981.254336515918,-5359.213928486999,22340.468265002917
10054,2030-04-15 18:30:00,15780.97031542733,-5985.0029153801515,21765.97323080748
10055,2030-04-15 18:45:00,14913.229642158887,-6414.822466167054,21328.05210832594
10056,2030-04-15 19:00:00,14147.370804265865,-6574.083922350092,20721.454726615957
10057,2030-04-15 19:15:00,13583.643451708387,-6524.218220861081,20107.861672569466
10058,2030-04-15 19:30:00,13029.65537786587,-6446.977600742068,19476.632978607937
10059,2030-04-15 19:45:00,12686.07094429959,-6386.225109081861,19072.29605338145
10060,2030-04-15 20:00:00,12500.531834371213,-6575.995616855871,19076.527451227084
10061,2030-04-15 20:15:00,12450.098322268861,-6333.750680892874,18783.849003161733
10062,2030-04-15 20:30:00,12509.203660225596,-6165.934878795713,18675.13853902131
10063,2030-04-15 20:45:00,12481.500387869815,-6057.7072986236,18539.207686493413
10064,2030-04-15 21:00:00,12411.644807046356,-1205.3934987586854,13617.038305805041
10065,2030-04-15 21:15:00,12394.81428354828,0.0,12394.81428354828
10066,2030-04-15 21:30:00,12216.949401164518,0.0,12216.949401164518
10067,2030-04-15 21:45:00,12115.69596697239,0.0,12115.69596697239
10068,2030-04-15 22:00:00,11953.434294619361,0.0,11953.434294619361
10069,2030-04-15 22:15:00,11780.39137782995,0.0,11780.39137782995
10070,2030-04-15 22:30:00,11718.41483280983,0.0,11718.41483280983
10071,2030-04-15 22:45:00,11714.364170605902,0.0,11714.364170605902
10072,2030-04-15 23:00:00,11554.424836802706,0.0,11554.424836802706
10073,2030-04-15 23:15:00,11346.302126242588,0.0,11346.302126242588
10074,2030-04-15 23:30:00,11108.968754261796,0.0,11108.968754261796
10075,2030-04-15 23:45:00,11062.77556598407,0.0,11062.77556598407
10076,2030-04-16 00:00:00,10850.42761666996,0.0,10850.42761666996
10077,2030-04-16 00:15:00,10771.581118203532,0.0,10771.581118203532
10078,2030-04-16 00:30:00,10757.072933255287,0.0,10757.072933255287
10079,2030-04-16 00:45:00,10632.59340162023,0.0,10632.59340162023
10080,2030-04-16 01:00:00,10490.750467881304,0.0,10490.750467881304
10081,2030-04-16 01:15:00,10413.82170623287,0.0,10413.82170623287
10082,2030-04-16 01:30:00,10256.66026242079,0.0,10256.66026242079
10083,2030-04-16 01:45:00,10268.639775632771,0.0,10268.639775632771
10084,2030-04-16 02:00:00,10111.478331820694,0.0,10111.478331820694
10085,2030-04-16 02:15:00,10009.440164932203,0.0,10009.440164932203
10086,2030-04-16 02:30:00,9877.38812636018,0.0,9877.38812636018
10087,2030-04-16 02:45:00,9700.185998310508,0.0,9700.185998310508
10088,2030-04-16 03:00:00,9613.448900678326,0.0,9613.448900678326
10089,2030-04-16 03:15:00,9534.479139108822,0.0,9534.479139108822
10090,2030-04-16 03:30:00,9410.774184115604,0.0,9410.774184115604
10091,2030-04-16 03:45:00,9277.476860478564,0.0,9277.476860478564
10092,2030-04-16 04:00:00,9122.408726271704,0.0,9122.408726271704
